month,provider,entry_price_eur_per_month
2026-07,Vimexx,0.45
2026-07,IONOS,1
2026-07,Strato,1
2026-07,mijn.host,2.49
2026-07,Hostinger,2.99
2026-07,SiteGround,2.99
2026-07,DigitalOcean,4
2026-07,TransIP,4.99
2026-07,Antagonist,5.66
2026-07,Hetzner,7.99
2026-07,Cloudways,14
2026-07,WP Engine,20
2026-07,Kinsta,30
2026-08,Vimexx,0.45
2026-08,IONOS,1
2026-08,Strato,1
2026-08,mijn.host,1.99
2026-08,Hostinger,2.99
2026-08,SiteGround,2.99
2026-08,DigitalOcean,4
2026-08,Hetzner,4.35
2026-08,Antagonist,5.66
2026-08,TransIP,9.99
2026-08,Cloudways,12
2026-08,Kinsta,30
2026-08,WP Engine,30
