provider,entry_price_eur_per_month,source_url
Brilliant,9.99,https://leerplatformkiezer.nl/tools/brilliant
MasterClass,10,https://leerplatformkiezer.nl/tools/masterclass
Domestika,12.46,https://leerplatformkiezer.nl/tools/domestika
Skillshare,13.99,https://leerplatformkiezer.nl/tools/skillshare
Codecademy,17.99,https://leerplatformkiezer.nl/tools/codecademy
Udemy,18.33,https://leerplatformkiezer.nl/tools/udemy
Pluralsight,24.91,https://leerplatformkiezer.nl/tools/pluralsight
DataCamp,27.08,https://leerplatformkiezer.nl/tools/datacamp
Coursera,28.58,https://leerplatformkiezer.nl/tools/coursera
LinkedIn Learning,28.99,https://leerplatformkiezer.nl/tools/linkedin-learning
LOI,59,https://leerplatformkiezer.nl/tools/loi
