month,provider,entry_price_eur_per_month
2026-07,Domestika,7.99
2026-07,MasterClass,10
2026-07,Udemy,11
2026-07,DataCamp,13.25
2026-07,Skillshare,13.99
2026-07,Brilliant,13.99
2026-07,Pluralsight,19
2026-07,LinkedIn Learning,19.99
2026-07,Codecademy,19.99
2026-07,Coursera,33.25
2026-07,LOI,59
2026-06,Brilliant,9.99
2026-06,MasterClass,10
2026-06,Domestika,12.46
2026-06,Skillshare,13.99
2026-06,Codecademy,17.99
2026-06,Udemy,18.33
2026-06,Pluralsight,24.91
2026-06,DataCamp,27.08
2026-06,Coursera,28.58
2026-06,LinkedIn Learning,28.99
2026-06,LOI,59
