provider,entry_price_eur_per_month,source_url
Brevo,9,https://nieuwsbriefkiezer.nl/tools/brevo
MailerLite,10,https://nieuwsbriefkiezer.nl/tools/mailerlite
Laposta,11,https://nieuwsbriefkiezer.nl/tools/laposta
AWeber,12.5,https://nieuwsbriefkiezer.nl/tools/aweber
Mailchimp,13,https://nieuwsbriefkiezer.nl/tools/mailchimp
ActiveCampaign,15,https://nieuwsbriefkiezer.nl/tools/activecampaign
GetResponse,16,https://nieuwsbriefkiezer.nl/tools/getresponse
Omnisend,16,https://nieuwsbriefkiezer.nl/tools/omnisend
Klaviyo,20,https://nieuwsbriefkiezer.nl/tools/klaviyo
Kit (ConvertKit),33,https://nieuwsbriefkiezer.nl/tools/kit
