provider,entry_price_eur_per_month,source_url
Private Internet Access,1.99,https://kiesvpn.nl/tools/private-internet-access
PrivadoVPN,1.99,https://kiesvpn.nl/tools/privadovpn
PrivateVPN,2,https://kiesvpn.nl/tools/privatevpn
PureVPN,2.14,https://kiesvpn.nl/tools/purevpn
CyberGhost,2.19,https://kiesvpn.nl/tools/cyberghost
Surfshark,2.49,https://kiesvpn.nl/tools/surfshark
hide.me,2.69,https://kiesvpn.nl/tools/hide-me
IPVanish,2.99,https://kiesvpn.nl/tools/ipvanish
TunnelBear,3.33,https://kiesvpn.nl/tools/tunnelbear
NordVPN,3.99,https://kiesvpn.nl/tools/nordvpn
Proton VPN,4.49,https://kiesvpn.nl/tools/proton-vpn
Mozilla VPN,4.99,https://kiesvpn.nl/tools/mozilla-vpn
Mullvad VPN,5,https://kiesvpn.nl/tools/mullvad
Windscribe,5.75,https://kiesvpn.nl/tools/windscribe
ExpressVPN,6.67,https://kiesvpn.nl/tools/expressvpn
