month,provider,entry_price_eur_per_month
2026-07,Private Internet Access,1.99
2026-07,PrivadoVPN,1.99
2026-07,PrivateVPN,2
2026-07,PureVPN,2.14
2026-07,CyberGhost,2.19
2026-07,Surfshark,2.49
2026-07,hide.me,2.69
2026-07,IPVanish,2.99
2026-07,TunnelBear,3.33
2026-07,NordVPN,3.99
2026-07,Proton VPN,4.49
2026-07,Mozilla VPN,4.99
2026-07,Mullvad VPN,5
2026-07,Windscribe,5.75
2026-07,ExpressVPN,6.67
2026-08,Private Internet Access,1.99
2026-08,PrivadoVPN,1.99
2026-08,PrivateVPN,2
2026-08,PureVPN,2.14
2026-08,CyberGhost,2.19
2026-08,Surfshark,2.49
2026-08,hide.me,2.69
2026-08,Proton VPN,2.99
2026-08,IPVanish,2.99
2026-08,NordVPN,3.09
2026-08,TunnelBear,3.33
2026-08,ExpressVPN,3.49
2026-08,Mozilla VPN,4.99
2026-08,Mullvad VPN,5
2026-08,Windscribe,5.75
