month,provider,entry_price_eur_per_month
2026-07,NordPass,1.49
2026-07,Bitwarden,1.65
2026-07,Proton Pass,1.99
2026-07,Enpass,1.99
2026-07,RoboForm,1.99
2026-07,Keeper,2.92
2026-07,LastPass,3
2026-07,1Password,3.99
2026-07,Dashlane,4.99
2026-08,NordPass,1.49
2026-08,Bitwarden,1.65
2026-08,Proton Pass,1.99
2026-08,Enpass,1.99
2026-08,RoboForm,2.49
2026-08,Keeper,2.92
2026-08,LastPass,3
2026-08,1Password,3.99
2026-08,Dashlane,4.99
2026-09,Bitwarden,1.65
2026-09,Enpass,1.79
2026-09,RoboForm,2.49
2026-09,LastPass,2.9
2026-09,NordPass,2.99
2026-09,Proton Pass,2.99
2026-09,1Password,3.65
2026-09,Dashlane,3.96
2026-09,Keeper,4.34
