provider,entry_price_usd_per_month,source_url
TotalAV,2.42,https://antivirusshortlist.com/tools/totalav
Webroot Essentials,2.5,https://antivirusshortlist.com/tools/webroot
Intego Mac Internet Security,3.33,https://antivirusshortlist.com/tools/intego
Surfshark One,3.49,https://antivirusshortlist.com/tools/surfshark-one
Malwarebytes Premium,3.75,https://antivirusshortlist.com/tools/malwarebytes
Kaspersky Premium,3.75,https://antivirusshortlist.com/tools/kaspersky
G Data Total Security,4.16,https://antivirusshortlist.com/tools/g-data
Trend Micro Maximum Security,4.16,https://antivirusshortlist.com/tools/trend-micro
Bitdefender Total Security,4.17,https://antivirusshortlist.com/tools/bitdefender
Norton 360 Deluxe,4.17,https://antivirusshortlist.com/tools/norton
ESET HOME Security,4.17,https://antivirusshortlist.com/tools/eset
McAfee+,4.17,https://antivirusshortlist.com/tools/mcafee
Avast One,4.19,https://antivirusshortlist.com/tools/avast
AVG Internet Security,4.99,https://antivirusshortlist.com/tools/avg
F-Secure Total,5,https://antivirusshortlist.com/tools/f-secure
Avira Free Security,5,https://antivirusshortlist.com/tools/avira
LifeLock,7.5,https://antivirusshortlist.com/tools/lifelock
Aura,9,https://antivirusshortlist.com/tools/aura
