niche,provider_slug,plan_id,run_id,source_url,fetched_at,http_status,extraction_method,selector_or_path,raw_value,raw_currency,raw_period,page_hash,archive_url,scraper_version,fx_rate,fx_date,normalized_usd_per_month,alt_usd_per_month,alt_method,renewal_usd_per_month,incl_vat,status,flags,reason
backup,pcloud,pcloud-premium,2026-08_r1,https://www.pcloud.com/cloud-storage-pricing-plans.html,2026-08-21T20:45:47.673Z,200,css_selector,text-proximity,EUR 119 | fic Ultra 10 TB Lifetime 1890 EUR 1190 EUR one_time_payment GET NOW 10 TB Storage 2 TB download_link_traffic Prices are,EUR,year,cc0e5d7e27ffe0e4,,prijsmeter-1.0.0/v1-2026-07,1.1699,2026-08-21,11.6,,,,unknown,under_review,eenmalig_bedrag,gevlagd: eenmalig_bedrag
backup,icedrive,icedrive-lite,2026-08_r1,https://icedrive.net/plans,2026-08-21T20:45:51.720Z,200,css_selector+render,text-proximity,€59 | vings! Monthly Yearly Pro €99 €59 /year --> Annual subscription 2 TB Storage Crypto Included Versions 30 days Continue P,EUR,year,5d112fd8b8a6db12,,prijsmeter-1.0.0/v1-2026-07,1.1699,2026-08-21,5.75,,,,true,observed_new,,mediaan van 3/3 runs
backup,carbonite,carbonite-safe,2026-08_r1,https://www.carbonite.com/personal/pricing/,2026-08-21T20:46:06.792Z,200,css_selector+render,text-proximity,$95.99 | ary Plan Carbonite Safe Basic $95.99/year Plan length 1 year Number of subscriptions 1 Order Total $95.99 Taxes calculat,USD,year,586f3b37c652fc8d,,prijsmeter-1.0.0/v1-2026-07,1,2026-08-21,8,,,,unknown,observed_unchanged,,mediaan van 3/3 runs; vergeleken in USD: 8 -> 8 per maand; vergeleken in USD: 8 -> 8 per maand; vergeleken in USD: 8 -> 8 per maand
backup,idrive,idrive-personal,2026-08_r1,https://www.idrive.com/pricing,2026-08-21T20:46:14.469Z,200,css_selector,text-proximity,"$ 6.99 | time only! --> $9.99 / month $ 6.99 / month 5 TB Storage One user, Multiple computers 5 TB $9.99 $6.99 / month 10 TB $1",USD,month,2f66ab2fa542c5af,,prijsmeter-1.0.0/v1-2026-07,1,2026-08-21,6.99,,,,unknown,observed_unchanged,,mediaan van 3/3 runs; vergeleken in USD: 6.99 -> 6.99 per maand; vergeleken in USD: 6.99 -> 6.99 per maand; vergeleken in USD: 6.99 -> 6.99 per maand
backup,acronis,acronis-essentials,2026-08_r1,https://www.acronis.com/en/products/true-image/purchasing/,2026-08-21T20:46:19.258Z,200,json_ld,offers.price,EUR 49.99 (JSON-LD),EUR,year,7808356afd3e6145,,prijsmeter-1.0.0/v1-2026-07,1.1699,2026-08-21,4.87,83.25,css_selector,,true,observed_new,extractor_disagreement,"gevlagd (extractor_disagreement) maar beoordeeld op 2026-08-21 door Claude-sessie 21-8-2026, op basis van twee onafhankelijke bronverificaties: De meting leest ruw 'EUR 49.99' van de eigen prijspagina en normaliseert dat naar 4,87 USD per maand (49,99 / 12 = 4,166 EUR, maal koers 1,1699). Dat komt exact overeen met wat vendors.csv voor acronis-essentials voorschrijft: 49,99 EUR per jaar. De vlag extractor_disagreement ontstaat doordat de tweede extractiemethode een ander bedrag op dezelfde pagina vindt (Acronis toont meerdere plannen en looptijden naast elkaar), maar de primaire waarde is de juiste. Twee onafhankelijk werkende controles bevestigden op 21-8-2026 bij de bron dat het instapplan 49,99 EUR per jaar kost; beide noemden 4,17 als maandbedrag, en dat is hetzelfde getal in EURO's terwijl de pijplijn in dollars rekent. Die ogenschijnlijke afwijking is dus een valutakwestie en geen meetfout."
backup,nordlocker,nordlocker-500gb,2026-08_r1,https://nordlocker.com/plans/,2026-08-21T20:46:22.805Z,200,css_selector+render,text-proximity,$ 2 | ecure sharing Save 40% 500 GB $ 2 . 99 / month $ 59 . 88 $ 35 . 88 for the first 12 months VAT may apply. Savings: intro,USD,month,7cb24fc3f27a237b,,prijsmeter-1.0.0/v1-2026-07,1,2026-08-21,2,,,,true,observed_unchanged,,mediaan van 3/3 runs; vergeleken in USD: 2 -> 2 per maand; vergeleken in USD: 2 -> 2 per maand; vergeleken in USD: 2 -> 2 per maand
backup,sync-com,sync-solo,2026-08_r1,https://www.sync.com/pricing-individual/,2026-08-21T20:46:29.938Z,200,css_selector,text-proximity,"$3.50 | want private cloud storage $4 $3.50 per month, billed monthly per month, billed annually Top features: 150 GB secure sto",USD,month,2361d869797f76ce,,prijsmeter-1.0.0/v1-2026-07,1,2026-08-21,3.5,,,,true,observed_unchanged,,mediaan van 3/3 runs; vergeleken in USD: 3.5 -> 3.5 per maand; vergeleken in USD: 3.5 -> 3.5 per maand; vergeleken in USD: 3.5 -> 3.5 per maand
backup,backblaze,backblaze-personal,2026-08_r1,https://www.backblaze.com/cloud-backup/pricing,2026-08-21T20:46:33.346Z,200,css_selector,text-proximity,$99 | lue Save 8% Personal backup ‍ $99 /year Free Trial Buy now What&#x27;s included Unlimited data backup Access data anywhe,USD,year,c34470a954fb2743,,prijsmeter-1.0.0/v1-2026-07,1,2026-08-21,8.25,,,,true,observed_unchanged,,mediaan van 3/3 runs; vergeleken in USD: 8.25 -> 8.25 per maand; vergeleken in USD: 8.25 -> 8.25 per maand; vergeleken in USD: 8.25 -> 8.25 per maand
backup,filen,filen-pro,2026-08_r1,https://filen.io/pricing,2026-08-21T20:46:36.844Z,200,css_selector,text-proximity,$ 4 | 8 F10 F11 F12 ~ ` ! 1 @ 2 # 3 $ 4 % 5 ^ 6 &amp; 7 * 8 ( 9 ) 0 — _ + = delete tab Q W E R T Y U I O P { [ } ] | \ caps lo,USD,month,8b1b8bc00603d81a,,prijsmeter-1.0.0/v1-2026-07,1,2026-08-21,4,,,,unknown,under_review,geen_prijstekst,gevlagd: geen_prijstekst
backup,proton-drive,proton-drive-plus,2026-08_r1,https://proton.me/drive/pricing,2026-08-21T20:46:40.489Z,200,css_selector+render,text-proximity,€7.99 | fessional 1 TB per user €9.99 €7.99 /month Secure cloud storage and collaboration for teams Share and collaborate on fil,EUR,month,d7f09bf60e743d26,,prijsmeter-1.0.0/v1-2026-07,1.1699,2026-08-21,9.35,,,,unknown,under_review,high_spread,gevlagd: high_spread
