niche,provider_slug,plan_id,run_id,source_url,fetched_at,http_status,extraction_method,selector_or_path,raw_value,raw_currency,raw_period,page_hash,archive_url,scraper_version,fx_rate,fx_date,normalized_usd_per_month,alt_usd_per_month,alt_method,renewal_usd_per_month,incl_vat,status,flags,reason,body_hash
backup,pcloud,pcloud-premium,2026-09_r1,https://www.pcloud.com/cloud-storage-pricing-plans.html,2026-09-07T08:05:36.984Z,200,css_selector,text-proximity,EUR 119 | fic Ultra 10 TB Lifetime 1890 EUR 1190 EUR one_time_payment GET NOW 10 TB Storage 2 TB download_link_traffic Prices are,EUR,year,cc0e5d7e27ffe0e4,https://web.archive.org/web/20260907093046/https://www.pcloud.com/cloud-storage-pricing-plans.html,prijsmeter-1.0.0/v1-2026-07,1.1622,2026-09-04,11.53,,,,unknown,under_review,eenmalig_bedrag,gevlagd: eenmalig_bedrag,eb284a68a259a47e
backup,icedrive,icedrive-lite,2026-09_r1,https://icedrive.net/plans,2026-09-07T09:22:59.923Z,403,manual,,,,unknown,d8bf95fb899df7f3,http://web.archive.org/web/20260821055932/https://icedrive.net/plans,prijsmeter-1.0.0/v1-2026-07,,,,,,,unknown,missing,,render-fout: page.content: Unable to retrieve content because the page is navigating and changing the content.,0b5346172e9efa23
backup,carbonite,carbonite-safe,2026-09_r1,https://www.carbonite.com/personal/pricing/,2026-09-07T09:23:58.997Z,200,manual,,,,unknown,9609ace8e699f5f2,,prijsmeter-1.0.0/v1-2026-07,,,,,,,unknown,missing,,"geen prijs gevonden (ook na render, 93585 bytes)",6445fb8f032e57f5
backup,idrive,idrive-personal,2026-09_r1,https://www.idrive.com/pricing,2026-09-07T08:21:26.954Z,200,css_selector,text-proximity,"$ 6.99 | time only! --> $9.99 / month $ 6.99 / month 5 TB Storage One user, Multiple computers 5 TB $9.99 $6.99 / month 10 TB $1",USD,month,2f66ab2fa542c5af,https://web.archive.org/web/20260907093411/https://www.idrive.com/pricing,prijsmeter-1.0.0/v1-2026-07,1,2026-09-07,6.99,,,,unknown,observed_unchanged,,mediaan van 3/3 runs; vergeleken in USD: 6.99 -> 6.99 per maand,d43ee0e45d387b85
backup,acronis,acronis-essentials,2026-09_r1,https://www.acronis.com/en/products/true-image/purchasing/,2026-09-07T09:16:51.185Z,200,json_ld,offers.price,"EUR 49.99 ""Acronis True Image Essentials Subscription 1 Computer - 1 year subscription"" (JSON-LD)",EUR,year,7808356afd3e6145,https://web.archive.org/web/20260907093437/https://www.acronis.com/en/products/true-image/purchasing/,prijsmeter-1.0.0/v1-2026-07,1.1622,2026-09-04,4.84,83.25,css_selector,,true,observed_unchanged,extractor_disagreement,"gevlagd (extractor_disagreement) maar beoordeeld op 2026-08-21 door Claude-sessie 21-8-2026, op basis van twee onafhankelijke bronverificaties: De meting leest ruw 'EUR 49.99' van de eigen prijspagina en normaliseert dat naar 4,87 USD per maand (49,99 / 12 = 4,166 EUR, maal koers 1,1699). Dat komt exact overeen met wat vendors.csv voor acronis-essentials voorschrijft: 49,99 EUR per jaar. De vlag extractor_disagreement ontstaat doordat de tweede extractiemethode een ander bedrag op dezelfde pagina vindt (Acronis toont meerdere plannen en looptijden naast elkaar), maar de primaire waarde is de juiste. Twee onafhankelijk werkende controles bevestigden op 21-8-2026 bij de bron dat het instapplan 49,99 EUR per jaar kost; beide noemden 4,17 als maandbedrag, en dat is hetzelfde getal in EURO's terwijl de pijplijn in dollars rekent. Die ogenschijnlijke afwijking is dus een valutakwestie en geen meetfout.; vergeleken in EUR: 4.17 -> 4.17 per maand; de dollarwaarde ging wel 4.87 -> 4.84 en dat is wisselkoers, geen prijs",900a3f712f7779cc
backup,nordlocker,nordlocker-500gb,2026-09_r1,https://nordlocker.com/plans/,2026-09-07T09:25:02.278Z,200,manual,,,,unknown,8746ba808d465d6d,https://web.archive.org/web/20260907093607/https://nordlocker.com/plans/,prijsmeter-1.0.0/v1-2026-07,,,,,,,unknown,missing,,"geen prijs gevonden (ook na render, 298714 bytes)",47011f4489fbfe3c
backup,sync-com,sync-solo,2026-09_r1,https://www.sync.com/pricing-individual/,2026-09-07T08:56:07.981Z,200,css_selector,text-proximity,"$3.50 | want private cloud storage $4 $3.50 per month, billed monthly per month, billed annually Top features: 150 GB secure sto",USD,month,2361d869797f76ce,https://web.archive.org/web/20260907093644/https://www.sync.com/pricing-individual/,prijsmeter-1.0.0/v1-2026-07,1,2026-09-07,3.5,,,,true,observed_unchanged,,mediaan van 3/3 runs; vergeleken in USD: 3.5 -> 3.5 per maand,8f45fd58cde10696
backup,backblaze,backblaze-personal,2026-09_r1,https://www.backblaze.com/cloud-backup/pricing,2026-09-07T08:57:12.322Z,200,css_selector,text-proximity,$99 | lue Save 8% Personal backup ‍ $99 /year Free Trial Buy now What&#x27;s included Unlimited data backup Access data anywhe,USD,year,c34470a954fb2743,https://web.archive.org/web/20260907093720/https://www.backblaze.com/cloud-backup/pricing,prijsmeter-1.0.0/v1-2026-07,1,2026-09-07,8.25,,,,true,observed_unchanged,,mediaan van 3/3 runs; vergeleken in USD: 8.25 -> 8.25 per maand,31829a082abe9329
backup,filen,filen-pro,2026-09_r1,https://filen.io/pricing,2026-09-07T08:57:20.184Z,200,css_selector,text-proximity,1.99 € | onthly Annually Pro I 200 GiB 1.99 € monthly 200 GiB storage Unlimited bandwidth Unlimited uploads Client side encryptio,EUR,month,0848b9752080b7d3,https://web.archive.org/web/20260907093751/https://filen.io/pricing,prijsmeter-1.0.0/v1-2026-07,1.1622,2026-09-04,2.31,,,,unknown,observed_new,,mediaan van 3/3 runs,13894693541456b7
backup,proton-drive,proton-drive-plus,2026-09_r1,https://proton.me/drive/pricing,2026-09-07T09:25:50.028Z,200,manual,,,,unknown,f3a1a9c4fa8cb96f,https://web.archive.org/web/20260907093827/https://proton.me/drive/pricing,prijsmeter-1.0.0/v1-2026-07,,,,,,,unknown,missing,,"geen prijs gevonden (ook na render, 221025 bytes)",5fa5bb154a0e4c89
