provider,entry_price_usd_per_month,source_url
pCloud,4.17,https://backupshortlist.com/tools/pcloud
Icedrive,4.99,https://backupshortlist.com/tools/icedrive
Carbonite Safe,4.99,https://backupshortlist.com/tools/carbonite
IDrive,5.8,https://backupshortlist.com/tools/idrive
Acronis True Image,6.08,https://backupshortlist.com/tools/acronis
NordLocker,6.99,https://backupshortlist.com/tools/nordlocker
Sync.com,8,https://backupshortlist.com/tools/sync-com
Backblaze Personal Backup,8.25,https://backupshortlist.com/tools/backblaze
Filen,8.99,https://backupshortlist.com/tools/filen
Proton Drive,9.99,https://backupshortlist.com/tools/proton-drive
Microsoft OneDrive,9.99,https://backupshortlist.com/tools/onedrive
Dropbox,9.99,https://backupshortlist.com/tools/dropbox
Google One,9.99,https://backupshortlist.com/tools/google-one
Apple iCloud+,9.99,https://backupshortlist.com/tools/icloud
MEGA,9.99,https://backupshortlist.com/tools/mega
Koofr,9.99,https://backupshortlist.com/tools/koofr
Tresorit,11.99,https://backupshortlist.com/tools/tresorit
