niche,provider_slug,plan_id,run_id,source_url,fetched_at,http_status,extraction_method,selector_or_path,raw_value,raw_currency,raw_period,page_hash,archive_url,scraper_version,fx_rate,fx_date,normalized_usd_per_month,alt_usd_per_month,alt_method,renewal_usd_per_month,incl_vat,status,flags,reason
esim,roamless,global-1gb,2026-08_r1,https://roamless.com/esim-region/global-esim,2026-08-22T13:14:39.029Z,200,json_ld,offers.price,USD 8.45 (JSON-LD),USD,month,ec1201c69a2772c5,https://web.archive.org/web/20260822132444/https://roamless.com/esim-region/global-esim,prijsmeter-1.0.0/v1-2026-07,1,2026-08-22,8.45,8.45,css_selector,,unknown,observed_new,,mediaan van 3/3 runs
esim,instabridge,netherlands-1gb-7d,2026-08_r1,https://store.instabridge.com/mobile-data/netherlands,2026-08-22T13:17:01.242Z,200,manual,,,,unknown,1e40b8d116c334b2,https://web.archive.org/web/20260822132509/https://store.instabridge.com/mobile-data/netherlands,prijsmeter-1.0.0/v1-2026-07,,,,,,,unknown,missing,,"geen prijs gevonden (ook na render, 58167 bytes)"
esim,saily,saily-instap,2026-08_r1,https://saily.com/esim-global/,2026-08-22T13:14:57.702Z,200,json_ld+render,offers.price,EUR 7.99 (JSON-LD),EUR,month,490876e2fe1ae01f,,prijsmeter-1.0.0/v1-2026-07,1.1699,2026-08-21,9.35,9.35,css_selector,,true,observed_new,,mediaan van 3/3 runs
esim,nomad,global-1gb-7days,2026-08_r1,https://www.nomadesim.com/global-eSIM,2026-08-22T13:15:05.974Z,200,json_ld,offers.price,USD 12 (JSON-LD),USD,month,54e64643c27711f8,https://web.archive.org/web/20260822132555/https://www.nomadesim.com/global-eSIM,prijsmeter-1.0.0/v1-2026-07,1,2026-08-22,12,12,css_selector,,true,observed_new,,mediaan van 3/3 runs
esim,alosim,global-esim-1gb-7days,2026-08_r1,https://alosim.com/global-esim/,2026-08-22T13:15:10.332Z,200,css_selector,text-proximity,"$ 10.00 | ons Global 🌎 Global eSIM USD $ 10.00 aloSIM eSIM installs in 90 seconds, and is easy to set up before travel. Get fast",USD,month,b86ac7e45ae04752,https://web.archive.org/web/20260822132618/https://alosim.com/destinations/global-esim/,prijsmeter-1.0.0/v1-2026-07,1,2026-08-22,10,,,,unknown,observed_new,,mediaan van 3/3 runs
esim,ubigi,world-5gb-month-x12,2026-08_r1,https://cellulardata.ubigi.com/rates-and-coverage/world-data-plans/world-5gb-month-x12/,2026-08-22T13:15:15.139Z,200,css_selector,text-proximity,$199 | eSIM World 5GB/month data - $199 - 12 months | Ubigi Content Navigation bar Footer Skip to content TRAVEL eSIM BUSINES,USD,year,a7b700898beae751,https://web.archive.org/web/20260822132642/https://cellulardata.ubigi.com/rates-and-coverage/world-data-plans/world-5gb-month-x12/,prijsmeter-1.0.0/v1-2026-07,1,2026-08-22,16.58,,,,unknown,observed_new,,mediaan van 3/3 runs
esim,yesim,global-package-30days-10gb,2026-08_r1,https://ye-sim.app/global/global-package-esim/,2026-08-22T13:17:25.632Z,0,manual,,,,unknown,,https://web.archive.org/web/20260822132708/https://ye-sim.app/global/global-package-esim/,prijsmeter-1.0.0/v1-2026-07,,,,,,,unknown,missing,,robots.txt verbiedt deze pagina
esim,airalo,discover-in-7days-1gb,2026-08_r1,https://www.airalo.com/global-esim,2026-08-22T13:17:28.140Z,200,manual,,,,unknown,bb3072468e404c6c,https://web.archive.org/web/20260822132738/https://www.airalo.com/global-esim,prijsmeter-1.0.0/v1-2026-07,,,,,,,unknown,missing,,"geen prijs gevonden (ook na render, 1805023 bytes)"
esim,flexiroam,fx-8gb-90d-gdp-p30-may26,2026-08_r1,https://www.flexiroam.com/en-us/shop/esim-global-data-plans,2026-08-22T13:15:36.055Z,200,css_selector,text-proximity,USD 79.9 | 8GB 90 Days 🏷️ USD 0.62/day USD 79.9 (RRP) USD 55.9 40% Off - Occasional Traveller 20GB 180 Days 🏷️ USD 0.60/day USD,USD,unknown,eab337844117ff11,https://web.archive.org/web/20260822132807/https://www.flexiroam.com/en-us/shop/esim-global-data-plans,prijsmeter-1.0.0/v1-2026-07,1,2026-08-22,79.9,,,,unknown,under_review,out_of_band|period_unknown,"gevlagd: out_of_band, period_unknown"
esim,bnesim,global-1gb-30d,2026-08_r1,https://www.bnesim.com/plans/global/,2026-08-22T13:15:41.653Z,200,json_ld,offers.price,EUR 7.99 (JSON-LD),EUR,month,84fcc968029f0ce8,https://web.archive.org/web/20260822132841/https://www.bnesim.com/plans/global/,prijsmeter-1.0.0/v1-2026-07,1.1699,2026-08-21,9.35,,,,unknown,observed_new,,mediaan van 3/3 runs
esim,gigsky,gigsky-one-25gb,2026-08_r1,https://www.gigsky.com/data-on-land,2026-08-22T13:15:45.206Z,200,css_selector,text-proximity,$3.99 | countries North America From $3.99 Europe From $3.99 Caribbean From $3.99 Middle East From $3.99 Asia Pacific From $3.9,USD,month,50df2eac9b9be2a4,https://web.archive.org/web/20260822132907/https://www.gigsky.com/,prijsmeter-1.0.0/v1-2026-07,1,2026-08-22,3.99,,,,unknown,observed_new,,mediaan van 3/3 runs
