niche,provider_slug,plan_id,run_id,source_url,fetched_at,http_status,extraction_method,selector_or_path,raw_value,raw_currency,raw_period,page_hash,archive_url,scraper_version,fx_rate,fx_date,normalized_usd_per_month,alt_usd_per_month,alt_method,renewal_usd_per_month,incl_vat,status,flags,reason
hosting,ionos,ionos-plus,2026-07_r1,https://www.ionos.com/hosting/web-hosting,2026-07-17T21:15:51.797Z,200,json_ld,offers.price,USD 1 (JSON-LD),USD,month,0772a6d2e70cab27,https://web.archive.org/web/20260717212540/https://www.ionos.com/hosting/web-hosting,prijsmeter-1.0.0/v1-2026-07,1,2026-07-17,1,1,css_selector,14,unknown,observed_new,,periode uit vendor-config (pagina toonde geen termijn bij de prijs)
hosting,namecheap,namecheap-stellar,2026-07_r1,https://www.namecheap.com/hosting/shared/,2026-07-17T21:15:56.651Z,200,css_selector+render,text-proximity,$2.28 | trial $0.00 for 30 days Then $2.28/mo Monthly Yearly Bi-yearly 30 days trial 1 per account Trial is limited to one subs,USD,month,fffaf9e121037163,https://web.archive.org/web/20260717212619/https://www.namecheap.com/hosting/shared/,prijsmeter-1.0.0/v1-2026-07,1,2026-07-17,2.28,,,,unknown,observed_new,,
hosting,dreamhost,dreamhost-launch,2026-07_r1,https://www.dreamhost.com/hosting/,2026-07-17T21:16:17.104Z,200,css_selector,text-proximity,€2.89 | sites. On Sale First year at €2.89 /mo SAVE 75% Sign Up Now Auto-renews at €10.99 /mo after 1 year. 25 Websites 40k Mon,EUR,month,d5ee4386ef230b7e,https://web.archive.org/web/20260717212645/https://www.dreamhost.com/hosting/,prijsmeter-1.0.0/v1-2026-07,1.1435,2026-07-17,3.3,,,12.57,unknown,observed_new,,
hosting,bluehost,bluehost-starter,2026-07_r1,https://www.bluehost.com/pricing,2026-07-17T21:16:20.245Z,403,manual,,,,unknown,a17da6feaaaf2f20,https://web.archive.org/web/20260717212709/https://www.bluehost.com/special/ab/pricing?s_tnt=1732686%3A1%3A0&adobe_mc_sdid=SDID%3D4A26F918CEF05815-4348C527385A6B5F%7CMCORGID%3DA8B5776A5245B4360A490D44%40AdobeOrg%7CTS%3D1784323630,prijsmeter-1.0.0/v1-2026-07,,,,,,,unknown,missing,,"geen prijs gevonden (ook na render, 449149 bytes)"
hosting,hostinger,hostinger-premium,2026-07_r1,https://www.hostinger.com/web-hosting,2026-07-17T21:16:55.766Z,200,json_ld,offers.price,USD 2.99 (JSON-LD),USD,month,da9cbfa01d9c8829,https://web.archive.org/web/20260717212409/https://www.hostinger.com/web-hosting,prijsmeter-1.0.0/v1-2026-07,1,2026-07-17,2.99,2.99,css_selector,10.99,true,observed_new,,periode uit vendor-config (pagina toonde geen termijn bij de prijs)
hosting,siteground,siteground-startup,2026-07_r1,https://www.siteground.com/web-hosting.htm,2026-07-17T21:16:59.981Z,200,json_ld,offers.price,EUR 2.99 (JSON-LD),EUR,month,27c84391b4971d06,https://web.archive.org/web/20260717212752/https://www.siteground.com/web-hosting.htm,prijsmeter-1.0.0/v1-2026-07,1.1435,2026-07-17,3.42,,,,unknown,observed_new,,periode uit vendor-config (pagina toonde geen termijn bij de prijs)
hosting,a2-hosting,hosting-com-startup,2026-07_r1,https://hosting.com/web-hosting/,2026-07-17T21:17:03.242Z,200,css_selector,text-proximity,"$2.99 | e up to 75% now Starting at US$2.99/mo . Was US$11.90/mo See plans Trusted by over 700,000 customers to power 3,000,000+",USD,month,82227ffc648848cb,https://web.archive.org/web/20260717212817/https://hosting.com/hosting/,prijsmeter-1.0.0/v1-2026-07,1,2026-07-17,2.99,,,,unknown,observed_new,,
hosting,digitalocean,digitalocean-basic-droplet,2026-07_r1,https://www.digitalocean.com/pricing/droplets,2026-07-17T21:17:06.758Z,200,css_selector,text-proximity,"$ 4.00 | vCPU 500 GiB 10 GiB $0.00595 $ 4.00 1 GiB 1 vCPU 1,000 GiB 25 GiB $0.00893 $ 6.00 2 GiB 1 vCPU 2,000 GiB 50 GiB $0.0178",USD,month,3adeca4bf5be5dff,https://web.archive.org/web/20260717212917/https://www.digitalocean.com/pricing/droplets,prijsmeter-1.0.0/v1-2026-07,1,2026-07-17,4,,,,unknown,observed_new,,periode uit vendor-config (pagina toonde geen termijn bij de prijs)
hosting,hetzner,hetzner-level1,2026-07_r1,https://www.hetzner.com/webhosting/,2026-07-17T21:17:11.141Z,200,css_selector,text-proximity,"€1.09 | ge space, you will be charged €1.09 (including 19% VAT) per GB per month. If your storage space requirements have increa",EUR,month,e11ab9fb641f6d00,https://web.archive.org/web/20260717212948/https://www.hetzner.com/webhosting/,prijsmeter-1.0.0/v1-2026-07,1.1435,2026-07-17,1.25,,,,true,observed_new,,
hosting,godaddy,godaddy-economy,2026-07_r1,https://www.godaddy.com/hosting/web-hosting,2026-07-17T21:17:14.333Z,403,manual,,,,unknown,9d1e4d84bd63d0a4,https://web.archive.org/web/20260717213018/https://www.godaddy.com/hosting/web-hosting,prijsmeter-1.0.0/v1-2026-07,,,,,,,unknown,missing,,"geen prijs gevonden (statisch, mogelijk JS, 396 bytes)"
