niche,provider_slug,plan_id,run_id,source_url,fetched_at,http_status,extraction_method,selector_or_path,raw_value,raw_currency,raw_period,page_hash,archive_url,scraper_version,fx_rate,fx_date,normalized_usd_per_month,alt_usd_per_month,alt_method,renewal_usd_per_month,incl_vat,status,flags,reason,body_hash
hosting,ionos,ionos-plus,2026-09_r1,https://www.ionos.com/hosting/web-hosting,2026-09-01T10:17:12.270Z,200,json_ld,offers.price,USD 1 (JSON-LD),USD,month,0772a6d2e70cab27,https://web.archive.org/web/20260907073028/https://www.ionos.com/hosting/web-hosting,prijsmeter-1.0.0/v1-2026-07,1,2026-09-01,1,1,css_selector,14,unknown,observed_unchanged,,een stilstaande prijs hoort opnieuw bekeken te worden.; vergeleken in USD: 1 -> 1 per maand,
hosting,namecheap,namecheap-stellar,2026-09_r1,https://www.namecheap.com/hosting/shared/,2026-09-01T15:05:15.299Z,200,css_selector+render,text-proximity,$1.91 | g. 68% off Stellar Free trial $1.91 /mo Billed yearly You pay $22.92 — renews at $55.88/year Was $5.88/mo Monthly Yearly,USD,month,0626485d6a6556e7,,prijsmeter-1.0.0/v1-2026-07,1,2026-09-01,1.91,,,,unknown,observed_changed,,mediaan van 3/3 runs; vergeleken in USD: 2.28 -> 1.91 per maand,eb9cddec6e6505cc
hosting,dreamhost,dreamhost-launch,2026-09_r1,https://www.dreamhost.com/hosting/,2026-09-01T10:17:25.012Z,200,css_selector,text-proximity,€2.89 | sites. On Sale First year at €2.89 /mo SAVE 75% Sign Up Now Auto-renews at €10.99 /mo after 1 year. 25 Websites 40k Mon,EUR,month,d5ee4386ef230b7e,https://web.archive.org/web/20260901102800/https://www.dreamhost.com/hosting/,prijsmeter-1.0.0/v1-2026-07,1.1596,2026-08-31,3.35,,,12.74,unknown,observed_unchanged,,"mediaan van 3/3 runs; vergeleken in EUR: 2.89 -> 2.89 per maand; de dollarwaarde ging wel 3.38 -> 3.35 en dat is wisselkoers, geen prijs",
hosting,bluehost,bluehost-starter,2026-09_r1,https://www.bluehost.com/pricing,2026-09-01T10:17:29.082Z,200,css_selector,text-proximity,$ 3.99 | for a simple website or blog $ 3.99 /mo 1 VAT not included 1 GST not included Save 60 % For 36 month term Renews at $ 9,USD,month,39e1124bd90476f8,http://web.archive.org/web/20260901183425/https://www.bluehost.com/pricing,prijsmeter-1.0.0/v1-2026-07,1,2026-09-01,3.99,,,9.99,true,observed_unchanged,,mediaan van 3/3 runs; vergeleken in USD: 3.99 -> 3.99 per maand,
hosting,hostinger,hostinger-premium,2026-09_r1,https://www.hostinger.com/web-hosting,2026-09-01T10:17:32.663Z,200,json_ld,offers.price,USD 2.99 (JSON-LD),USD,month,f7e7cacf1b578db3,https://web.archive.org/web/20260901102841/https://www.hostinger.com/web-hosting,prijsmeter-1.0.0/v1-2026-07,1,2026-09-01,2.99,2.99,css_selector,10.99,true,observed_unchanged,,mediaan van 3/3 runs; vergeleken in USD: 2.99 -> 2.99 per maand,
hosting,siteground,siteground-startup,2026-09_r1,https://www.siteground.com/web-hosting.htm,2026-09-01T10:17:36.214Z,200,json_ld,offers.price,EUR 2.99 (JSON-LD),EUR,month,30451a25e64615db,https://web.archive.org/web/20260901102905/https://www.siteground.com/web-hosting.htm,prijsmeter-1.0.0/v1-2026-07,1.1596,2026-08-31,3.47,,,,unknown,observed_unchanged,,"mediaan van 3/3 runs; vergeleken in EUR: 2.99 -> 2.99 per maand; de dollarwaarde ging wel 3.5 -> 3.47 en dat is wisselkoers, geen prijs",
hosting,a2-hosting,hosting-com-startup,2026-09_r1,https://hosting.com/web-hosting/,2026-09-01T10:21:46.650Z,200,manual,,,,unknown,f47e863683810a33,https://web.archive.org/web/20260907073235/https://hosting.com/hosting/,prijsmeter-1.0.0/v1-2026-07,,,,,,,unknown,missing,,"geen prijs gevonden (ook na render, 875488 bytes)",
hosting,digitalocean,digitalocean-basic-droplet,2026-09_r1,https://www.digitalocean.com/pricing/droplets,2026-09-01T10:18:16.057Z,200,css_selector,text-proximity,"$ 4.00 | vCPU 500 GiB 10 GiB $0.00595 $ 4.00 1 GiB 1 vCPU 1,000 GiB 25 GiB $0.00893 $ 6.00 2 GiB 1 vCPU 2,000 GiB 50 GiB $0.0178",USD,month,3adeca4bf5be5dff,https://web.archive.org/web/20260901103025/https://www.digitalocean.com/pricing/droplets,prijsmeter-1.0.0/v1-2026-07,1,2026-09-01,4,,,,unknown,observed_unchanged,,een stilstaande prijs hoort opnieuw bekeken te worden.; vergeleken in USD: 4 -> 4 per maand,
hosting,hetzner,hetzner-level1,2026-09_r1,https://www.hetzner.com/webhosting/,2026-09-01T10:18:19.950Z,200,css_selector,text-proximity,"€1.09 | ge space, you will be charged €1.09 (including 19% VAT) per GB per month. If your storage space requirements have increa",EUR,month,e11ab9fb641f6d00,https://web.archive.org/web/20260901103054/https://www.hetzner.com/webhosting/,prijsmeter-1.0.0/v1-2026-07,1.1596,2026-08-31,1.26,,,,true,under_review,naheffing_per_eenheid,gevlagd: naheffing_per_eenheid,
hosting,godaddy,godaddy-economy,2026-09_r1,https://www.godaddy.com/hosting/web-hosting,2026-09-01T10:22:28.058Z,403,manual,,,,unknown,c7f0a2c1a05fd1fa,https://web.archive.org/web/20260901103137/https://www.godaddy.com/hosting/web-hosting,prijsmeter-1.0.0/v1-2026-07,,,,,,,unknown,missing,,"geen prijs gevonden (statisch, mogelijk JS, 394 bytes)",
hosting,cloudways,cloudways-dobasic,2026-09_r1,https://www.cloudways.com/en/pricing.php,2026-09-01T10:18:29.302Z,200,json_ld,offers.price,USD 14 (JSON-LD),USD,month,9c59ec7a200c1db3,https://web.archive.org/web/20260901103202/https://www.cloudways.com/en/pricing.php,prijsmeter-1.0.0/v1-2026-07,1,2026-09-01,14,11,css_selector,,true,under_review,extractor_disagreement,gevlagd: extractor_disagreement,
hosting,wp-engine,wpengine-startup,2026-09_r1,https://wpengine.com/plans/,2026-09-01T10:18:32.974Z,200,css_selector,text-proximity,"$28.00 | egular price Discounted price $28.00 /month Get started Edit Remove Newsroom Platform Bring creation, collaboration, rev",USD,month,35e1a9d8c1acae5b,https://web.archive.org/web/20260901103217/https://wpengine.com/plans/,prijsmeter-1.0.0/v1-2026-07,1,2026-09-01,28,,,,unknown,observed_changed,,mediaan van 2/3 runs; vergeleken in USD: 27 -> 28 per maand,
hosting,kinsta,kinsta-starter,2026-09_r1,https://kinsta.com/pricing/,2026-09-01T10:18:36.871Z,200,css_selector,text-proximity,"$35 | rforming site. Single 20GB $0 $35 USD for the first month *Pay $0 today, $35 after the first month $0 $30 USD for the fi",USD,month,172bcef24d14c8f4,https://web.archive.org/web/20260901103247/https://kinsta.com/pricing/,prijsmeter-1.0.0/v1-2026-07,1,2026-09-01,35,,,59,unknown,observed_unchanged,,een stilstaande prijs hoort opnieuw bekeken te worden.; vergeleken in USD: 35 -> 35 per maand,
