month,provider,entry_price_usd_per_month
2026-07,IONOS,1
2026-07,Namecheap,1.98
2026-07,DreamHost,2.95
2026-07,Bluehost,2.95
2026-07,Hostinger,2.99
2026-07,SiteGround,2.99
2026-07,A2 Hosting,2.99
2026-07,DigitalOcean,4
2026-07,Hetzner,4.59
2026-07,GoDaddy,5.99
2026-07,Cloudways,11
2026-07,WP Engine,20
2026-07,Kinsta,30
2026-08,IONOS,1
2026-08,Namecheap,1.98
2026-08,DreamHost,2.95
2026-08,Hostinger,2.99
2026-08,SiteGround,2.99
2026-08,A2 Hosting,2.99
2026-08,Bluehost,3.99
2026-08,DigitalOcean,4
2026-08,Hetzner,4.59
2026-08,GoDaddy,5.99
2026-08,Cloudways,11
2026-08,Kinsta,30
2026-08,WP Engine,30
2026-09,IONOS,1
2026-09,Namecheap,1.98
2026-09,DreamHost,2.89
2026-09,Hostinger,2.99
2026-09,SiteGround,2.99
2026-09,A2 Hosting,2.99
2026-09,Bluehost,3.99
2026-09,DigitalOcean,4
2026-09,Hetzner,4.59
2026-09,GoDaddy,5.99
2026-09,Cloudways,11
2026-09,Kinsta,30
2026-09,WP Engine,30
