provider,entry_price_usd_per_month,source_url
Domestika,7.99,https://courseshortlist.com/tools/domestika
MasterClass,10,https://courseshortlist.com/tools/masterclass
DataCamp,13.25,https://courseshortlist.com/tools/datacamp
Skillshare,13.99,https://courseshortlist.com/tools/skillshare
Brilliant,13.99,https://courseshortlist.com/tools/brilliant
Pluralsight,19,https://courseshortlist.com/tools/pluralsight
LinkedIn Learning,19.99,https://courseshortlist.com/tools/linkedin-learning
Codecademy,19.99,https://courseshortlist.com/tools/codecademy
Udemy,20,https://courseshortlist.com/tools/udemy
Coursera,33.25,https://courseshortlist.com/tools/coursera
Udacity,249,https://courseshortlist.com/tools/udacity
