provider,entry_price_usd_per_month,source_url
Private Internet Access,1.99,https://vpnshortlist.com/tools/private-internet-access
PrivadoVPN,1.99,https://vpnshortlist.com/tools/privadovpn
PrivateVPN,2,https://vpnshortlist.com/tools/privatevpn
PureVPN,2.14,https://vpnshortlist.com/tools/purevpn
CyberGhost,2.19,https://vpnshortlist.com/tools/cyberghost
Surfshark,2.49,https://vpnshortlist.com/tools/surfshark
hide.me,2.69,https://vpnshortlist.com/tools/hide-me
IPVanish,2.99,https://vpnshortlist.com/tools/ipvanish
TunnelBear,3.33,https://vpnshortlist.com/tools/tunnelbear
NordVPN,3.99,https://vpnshortlist.com/tools/nordvpn
Proton VPN,4.49,https://vpnshortlist.com/tools/proton-vpn
Mozilla VPN,4.99,https://vpnshortlist.com/tools/mozilla-vpn
Mullvad VPN,5.5,https://vpnshortlist.com/tools/mullvad
Windscribe,5.75,https://vpnshortlist.com/tools/windscribe
ExpressVPN,6.67,https://vpnshortlist.com/tools/expressvpn
