provider,entry_price_usd_per_month,source_url
Carrd,1.58,https://websiteshortlist.com/tools/carrd
Hostinger Website Builder,2.99,https://websiteshortlist.com/tools/hostinger-builder
WordPress.com,4,https://websiteshortlist.com/tools/wordpress-com
Shopify,5,https://websiteshortlist.com/tools/shopify
Strikingly,8,https://websiteshortlist.com/tools/strikingly
Jimdo,9,https://websiteshortlist.com/tools/jimdo
IONOS Website Builder,9,https://websiteshortlist.com/tools/ionos
10Web,10,https://websiteshortlist.com/tools/10web
GoDaddy Website Builder,11.99,https://websiteshortlist.com/tools/godaddy
SITE123,12.8,https://websiteshortlist.com/tools/site123
Webflow,14,https://websiteshortlist.com/tools/webflow
Framer,15,https://websiteshortlist.com/tools/framer
Squarespace,16,https://websiteshortlist.com/tools/squarespace
Wix,17,https://websiteshortlist.com/tools/wix
Ecwid by Lightspeed,21,https://websiteshortlist.com/tools/ecwid
Duda,25,https://websiteshortlist.com/tools/duda
Lovable,25,https://websiteshortlist.com/tools/lovable
Square Online,29,https://websiteshortlist.com/tools/square-online
